Name,Date,Time,Temperature,Description,Low/high,Humidity,Vision,Wind,UV index,Air quality
Hồ Chí Minh,11/09/2022,20:15,29°,Mây rải rác,23°/33°,79%,10 km,4.12 km/giờ,0,Rất kém
Long An,11/09/2022,20:15,25°,Nhiều mây,23°/33°,91%,10 km,2.73 km/giờ,0,Kém
Tiền Giang,11/09/2022,20:15,25°,Nhiều mây,23°/33°,94%,10 km,1.81 km/giờ,0,Kém
Bến Tre,11/09/2022,20:15,25°,Mây cụm,23°/33°,95%,10 km,1.61 km/giờ,0,Kém
Trà Vinh,11/09/2022,20:15,25°,Nhiều mây,23°/32°,92%,10 km,1.79 km/giờ,0,Rất kém
Vĩnh Long,11/09/2022,20:15,24°,Nhiều mây,23°/33°,92%,10 km,2.63 km/giờ,0,Rất kém
Đồng Tháp,11/09/2022,20:15,24°,Nhiều mây,23°/33°,91%,10 km,3.39 km/giờ,0,Rất kém
An Giang,11/09/2022,20:15,24°,Nhiều mây,23°/33°,91%,10 km,3.12 km/giờ,0,Kém
Kiên Giang,11/09/2022,20:15,26°,Mưa nhẹ,24°/30°,87%,10 km,3.3 km/giờ,0,Tốt
Cần Thơ,11/09/2022,20:15,23°,Mây cụm,23°/32°,100%,8 km,0.51 km/giờ,0,Rất kém
Hậu Giang,11/09/2022,20:15,24°,Nhiều mây,23°/31°,94%,10 km,2.3 km/giờ,0,Kém
Sóc Trăng,11/09/2022,20:15,25°,Nhiều mây,24°/32°,94%,10 km,2.45 km/giờ,0,Rất kém
Bạc Liêu,11/09/2022,20:15,25°,Nhiều mây,24°/31°,91%,10 km,2.93 km/giờ,0,Khá
Cà Mau,11/09/2022,20:15,24°,Nhiều mây,23°/32°,94%,10 km,1.62 km/giờ,0,Tốt
